iter	Passed	Remaining
0	52	5154
1	53	2635
2	54	1766
3	55	1331
4	56	1069
5	57	895
6	58	770
7	58	676
8	59	603
9	60	544
10	61	496
11	62	456
12	63	422
13	63	392
14	64	367
15	65	344
16	66	324
17	67	306
18	67	288
19	68	273
20	69	260
21	70	248
22	70	237
23	71	227
24	72	218
25	73	209
26	74	201
27	75	193
28	76	186
29	76	179
30	77	173
31	78	167
32	79	161
33	80	155
34	81	150
35	82	145
36	82	141
37	83	136
38	84	132
39	85	128
40	86	124
41	87	120
42	87	116
43	88	112
44	89	109
45	90	106
46	91	102
47	92	99
48	92	96
49	93	93
50	94	90
51	95	88
52	96	85
53	97	82
54	98	80
55	98	77
56	99	75
57	100	72
58	101	70
59	102	68
60	103	65
61	103	63
62	104	61
63	105	59
64	106	57
65	107	55
66	108	53
67	108	51
68	109	49
69	110	47
70	111	45
71	112	43
72	113	41
73	113	40
74	114	38
75	115	36
76	116	34
77	117	33
78	118	31
79	118	29
80	119	28
81	120	26
82	121	24
83	122	23
84	123	21
85	124	20
86	124	18
87	125	17
88	126	15
89	127	14
90	128	12
91	129	11
92	129	9
93	133	8
94	135	7
95	136	5
96	137	4
97	138	2
98	138	1
99	139	0
